hotel_name,location,rate,facility,category
OYO 1162 ZE room,"Near Upside Down World Jogja, Yogyakarta",4.7,"Free Wifi, Queen Sized Bed, AC, TV",Indonesia Standard Double
OYO 90174 E.barly Syariah,"23, Gg. Nusa Indah grogol No.23, Banjeng, Maguwoharjo, Depok Sub-District, Sleman, Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Deluxe Single, Indonesia Deluxe Twin, Indonesia Standard Double"
OYO 1226 Al Abror Homestay,"Near Mandala Krida Stadium, Yogyakarta",4.6,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility",Indonesia Standard Double
OYO 90804 Oma Uti Homestay Syariah,"544, Kantor Camat Danurejan, Jalan Danurejan, Purwokinanti, Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Single, Indonesia Standard Double"
OYO 90496 Izzi Ekslusif,"316, Hotel Srikandi, Jalan Tantular, Condong Catur, Condongcatur, Depok, Sleman, Daerah Istimewa Yogyakarta, Indonesia, Yogyakarta",NEW,"Window, AC, TV",Indonesia Standard Double
OYO 1542 Yessy Mansion,"Near Pojok Benteng Kulon, Yogyakarta",NEW,"Free Wifi, AC, TV, CCTV Cameras, Daily Housekeeping","Indonesia Standard Single, Indonesia Standard Double"
OYO 1319 88 Exclusive Guesthouse,"Near Hartono Mall, Yogyakarta",4.7,"Free Wifi, Queen Sized Bed, AC, TV, Mini Fridge",Indonesia Deluxe Double
OYO 3935 Artha Ambarukmo Exclusive,"Near Plaza Ambarrukmo, Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Double, Indonesia Deluxe Double"
OYO 90354 Ndalem Sabine Syariah,Dekat Bukit Bintang Yogyakarta,4.5,"Free Wifi, AC, TV, Parking Facility, In-house Restaurant","Indonesia Standard Twin, Indonesia Standard Double, Indonesia Deluxe Double"
OYO Life 2617 Milenia Residence Syariah,"Near Gembira Loka Zoo, Yogyakarta",NEW,"Free Wifi, AC, TV, Seating Area, Parking Facility",Monthly standard single Room
OYO Life 1563 Calista Residence,"Near Maguwoharjo Stadium, Yogyakarta",NEW,"Free Wifi, King Sized Bed, Queen Sized Bed, Twin Single Bed, AC",Monthly Deluxe Double Room
OYO Life 2090 Ethes Exclusive,"Near Jogja Bay Waterpark, Yogyakarta",NEW,"Queen Sized Bed, King Sized Bed, Twin Single Bed, AC, Mini Fridge",Monthly Deluxe single Room
OYO Life 3921 Ikoz Family Syariah Soragan,"Near Monument of Prince Diponegoro, Yogyakarta",NEW,"Modern Wardrobe, Free Wifi, King Sized Bed, Queen Sized Bed, Twin Single Bed","Monthly Deluxe single Room, Monthly Deluxe Double Room"
OYO 931 Dara Dewi Homestay,"Near Mandala Krida Stadium, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Indonesia Suite Family, Indonesia Deluxe Double"
OYO 2889 Abel Homestay Syariah,"Near Kolombo, Yogyakarta",NEW,"Free Wifi, King Sized Bed, AC, TV, Parking Facility","Saver Double, Indonesia Standard Double"
OYO Life 2470 Student Garden,"Near Hartono Mall Yogyakarta, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, King Sized Bed, Twin Single Bed, AC","Monthly Deluxe Double Room, Monthly standard single Room"
OYO Life 3036 Kasikost Syariah,"Near Gembira Loka, Yogyakarta",NEW,"Free Wifi, AC, TV, Seating Area, Parking Facility",Monthly standard single Room
OYO Life 2339 Jennaira Syariah,"Near Sindu Kusuma Edupark (SKE), Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras",Monthly Deluxe single Room
OYO Life 2807 Nusa Indah Kost Putri,"Near Embung Tambakboyo, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Monthly standard Double Room, Monthly Deluxe Double Room"
OYO Life 2948 Kirana Residence,"Near Tugu Jogja, Yogyakarta",NEW,"Free Wifi, Kitchen, Queen Sized Bed, King Sized Bed, Twin Single Bed",Monthly standard single Room
